stopwords_removed,3-gram
"['kon', 'ol', 'anjg', 'lag', 'parah', 'c', 'k']","['anjg_lag_parah', 'kon_ol_anjg', 'ol_anjg_lag']"
"['lumayan', 'bagus', 'tipe', 'banget', 'rating', 'lebih', 'enak', 'king', 'segi', 'gamplay', 'bagus']","['bagus_tipe_banget', 'banget_rating_lebih', 'enak_king_segi', 'king_segi_gamplay', 'lebih_enak_king', 'lumayan_bagus_tipe', 'rating_lebih_enak', 'segi_gamplay_bagus', 'tipe_banget_rating']"
['draksistem'],[]
"['jelas', 'gelap', 'semua', 'gendong']","['gelap_semua_gendong', 'jelas_gelap_semua']"
"['ilang', 'signal']",[]
"['woy', 'kenapa', 'makin', 'makin', 'lag', 'sinyal', 'pdhal', 'kouta', 'byk', 'sinyal', 'hijau', 'kenapa', 'lag', 'skin', 'banyak', 'lag', 'biarin']","['banyak_lag_biarin', 'byk_sinyal_hijau', 'hijau_kenapa_lag', 'kenapa_lag_skin', 'kenapa_makin_makin', 'kouta_byk_sinyal', 'lag_sinyal_pdhal', 'lag_skin_banyak', 'makin_lag_sinyal', 'makin_makin_lag', 'pdhal_kouta_byk', 'sinyal_hijau_kenapa', 'sinyal_pdhal_kouta', 'skin_banyak_lag', 'woy_kenapa_makin']"
"['seru', 'baru', 'seru', 'teman', 'cuma', 'punya', 'keluh', 'masa', 'tadi', 'sudah', 'chat', 'yatim', 'random', 'moga', 'ramah', 'semua']","['baru_seru_teman', 'chat_yatim_random', 'cuma_punya_keluh', 'keluh_masa_tadi', 'masa_tadi_sudah', 'moga_ramah_semua', 'punya_keluh_masa', 'random_moga_ramah', 'seru_baru_seru', 'seru_teman_cuma', 'sudah_chat_yatim', 'tadi_sudah_chat', 'teman_cuma_punya', 'yatim_random_moga']"
"['season', 'sekarang', 'ngaco', 'auto', 'lag', 'pdhl', 'sinyal', 'wifi', 'amanalhasil', 'jd', 'kalah', 'jg', 'kacausll', 'troll']","['amanalhasil_jd_kalah', 'auto_lag_pdhl', 'jd_kalah_jg', 'jg_kacausll_troll', 'kalah_jg_kacausll', 'lag_pdhl_sinyal', 'ngaco_auto_lag', 'pdhl_sinyal_wifi', 'season_sekarang_ngaco', 'sekarang_ngaco_auto', 'sinyal_wifi_amanalhasil', 'wifi_amanalhasil_jd']"
"['macthmaking', 'busuk', 'jelas', 'banget', 'beban', 'report', 'sedang', 'sungguh', 'sungguh', 'nak', 'report', 'aneh', 'mtyhic', 'atas', 'aneh', 'aneh', 'atur', 'aneh', 'mending', 'uninstal']","['aneh_aneh_atur', 'aneh_atur_aneh', 'aneh_mending_uninstal', 'aneh_mtyhic_atas', 'atas_aneh_aneh', 'atur_aneh_mending', 'banget_beban_report', 'beban_report_sedang', 'busuk_jelas_banget', 'jelas_banget_beban', 'macthmaking_busuk_jelas', 'mtyhic_atas_aneh', 'nak_report_aneh', 'report_aneh_mtyhic', 'report_sedang_sungguh', 'sedang_sungguh_sungguh', 'sungguh_nak_report', 'sungguh_sungguh_nak']"
['bagus'],[]
"['bagus', 'bget', 'ramh', 'pk']","['bagus_bget_ramh', 'bget_ramh_pk']"
"['sinyal', 'hijau', 'lag', 'sampai', 'afk']","['hijau_lag_sampai', 'lag_sampai_afk', 'sinyal_hijau_lag']"
